payment_id,account_id,amount,payment_status,failure_reason,attempts_used,recovery_action,recovery_status,recovered_amount,next_step
P-00344,A-ad3abd,11748.0,failed,insufficient_funds,1,Retry later,recovered,11748.0,Recovered - stop
P-00345,A-e19ff6,1676.0,successful,,0,No action,not_required,0.0,No action
P-00346,A-7920cc,34536.0,successful,,0,No action,not_required,0.0,No action
P-00347,A-5a92e7,8744.0,failed,insufficient_funds,3,Recovery exhausted,failed,0.0,Escalate to human
P-00348,A-fdfc91,20612.0,successful,,0,No action,not_required,0.0,No action
P-00349,A-1e50e0,13295.0,failed,bank_error,1,Smart retry,recovered,13295.0,Recovered - stop
P-00350,A-1e1b80,47697.0,successful,,0,No action,not_required,0.0,No action
P-00351,A-659280,21127.0,failed,insufficient_funds,1,Retry later,recovered,21127.0,Recovered - stop
P-00352,A-f6b2fb,21795.0,successful,,0,No action,not_required,0.0,No action
P-00353,A-cb6cc6,1397.0,successful,,0,No action,not_required,0.0,No action
P-00354,A-d62e02,1990.0,successful,,0,No action,not_required,0.0,No action
P-00355,A-d535f6,2616.0,successful,,0,No action,not_required,0.0,No action
P-00356,A-39868b,3753.0,successful,,0,No action,not_required,0.0,No action
P-00357,A-3cc791,6758.0,successful,,0,No action,not_required,0.0,No action
P-00358,A-337bc1,19379.0,successful,,0,No action,not_required,0.0,No action
P-00359,A-58b9ff,20379.0,failed,insufficient_funds,1,Priority customer outreach,recovered,20379.0,Recovered - stop
P-00360,A-1d5444,29782.0,successful,,0,No action,not_required,0.0,No action
P-00361,A-0f3e88,4749.0,successful,,0,No action,not_required,0.0,No action
P-00362,A-7641d3,11086.0,successful,,0,No action,not_required,0.0,No action
P-00363,A-cd458b,16100.0,successful,,0,No action,not_required,0.0,No action
P-00364,A-c16b88,10082.0,failed,card_declined,1,Payment link,recovered,10082.0,Recovered - stop
P-00365,A-59f724,9431.0,failed,card_declined,1,Payment link,recovered,9431.0,Recovered - stop
P-00366,A-87aa7b,13518.0,failed,insufficient_funds,1,Retry later,recovered,13518.0,Recovered - stop
P-00367,A-1e6fc3,245.0,failed,expired_card,1,Payment link,recovered,245.0,Recovered - stop
P-00368,A-34ea2f,1671.0,successful,,0,No action,not_required,0.0,No action
P-00369,A-716841,7469.0,successful,,0,No action,not_required,0.0,No action
P-00370,A-558c72,6048.0,successful,,0,No action,not_required,0.0,No action
P-00371,A-b11cd0,4312.0,successful,,0,No action,not_required,0.0,No action
P-00372,A-7f4db3,17722.0,successful,,0,No action,not_required,0.0,No action
P-00373,A-cc102e,3718.0,successful,,0,No action,not_required,0.0,No action
P-00374,A-dec005,19599.0,successful,,0,No action,not_required,0.0,No action
P-00375,A-7c83a1,14511.0,successful,,0,No action,not_required,0.0,No action
P-00376,A-297a2d,9000.0,failed,network_error,1,Smart retry,recovered,9000.0,Recovered - stop
P-00377,A-4c56c9,20783.0,failed,network_error,1,Smart retry,recovered,20783.0,Recovered - stop
P-00378,A-cbbe12,4361.0,successful,,0,No action,not_required,0.0,No action
P-00379,A-4a267b,13671.0,successful,,0,No action,not_required,0.0,No action
P-00380,A-bcbe98,6256.0,failed,expired_card,1,Payment link,recovered,6256.0,Recovered - stop
P-00381,A-427b69,6056.0,successful,,0,No action,not_required,0.0,No action
P-00382,A-054577,23577.0,successful,,0,No action,not_required,0.0,No action
P-00383,A-bc87bc,342.0,successful,,0,No action,not_required,0.0,No action
P-00384,A-e7beab,4982.0,successful,,0,No action,not_required,0.0,No action
P-00385,A-a09355,6971.0,successful,,0,No action,not_required,0.0,No action
P-00386,A-31ab9a,4459.0,successful,,0,No action,not_required,0.0,No action
P-00387,A-0158bb,836.0,successful,,0,No action,not_required,0.0,No action
P-00388,A-f19b24,1972.0,successful,,0,No action,not_required,0.0,No action
P-00389,A-798a3f,10976.0,failed,insufficient_funds,1,Retry later,recovered,10976.0,Recovered - stop
P-00390,A-42b791,1421.0,successful,,0,No action,not_required,0.0,No action
P-00391,A-068fc6,19740.0,successful,,0,No action,not_required,0.0,No action
P-00392,A-6f50ae,19046.0,successful,,0,No action,not_required,0.0,No action
P-00393,A-a2485e,4370.0,successful,,0,No action,not_required,0.0,No action
P-00394,A-bb1eaa,9156.0,successful,,0,No action,not_required,0.0,No action
P-00395,A-cc98bc,19999.0,successful,,0,No action,not_required,0.0,No action
P-00396,A-d77f4c,42455.0,successful,,0,No action,not_required,0.0,No action
P-00397,A-ccabf0,22379.0,successful,,0,No action,not_required,0.0,No action
P-00398,A-4a4c2d,29268.0,successful,,0,No action,not_required,0.0,No action
P-00399,A-b7ef83,16186.0,failed,network_error,1,Smart retry,recovered,16186.0,Recovered - stop
P-00400,A-e08cd3,3283.0,successful,,0,No action,not_required,0.0,No action
P-00401,A-19b2c8,22723.0,successful,,0,No action,not_required,0.0,No action
P-00402,A-970c97,11830.0,successful,,0,No action,not_required,0.0,No action
P-00403,A-6dee43,22770.0,successful,,0,No action,not_required,0.0,No action
P-00404,A-5ed98d,11904.0,successful,,0,No action,not_required,0.0,No action
P-00405,A-c58f49,15260.0,successful,,0,No action,not_required,0.0,No action
P-00406,A-9c18c4,11853.0,failed,network_error,1,Smart retry,recovered,11853.0,Recovered - stop
P-00407,A-cc8c8f,6009.0,successful,,0,No action,not_required,0.0,No action
P-00408,A-5f7781,4796.0,successful,,0,No action,not_required,0.0,No action
P-00409,A-e1b9cd,24402.0,successful,,0,No action,not_required,0.0,No action
P-00410,A-ac85cd,4611.0,successful,,0,No action,not_required,0.0,No action
P-00411,A-d792a6,10019.0,successful,,0,No action,not_required,0.0,No action
P-00412,A-ac9111,14483.0,successful,,0,No action,not_required,0.0,No action
P-00413,A-9f0b68,15629.0,successful,,0,No action,not_required,0.0,No action
P-00414,A-ccb686,17921.0,failed,insufficient_funds,1,Retry later,recovered,17921.0,Recovered - stop
P-00415,A-0e966d,5632.0,successful,,0,No action,not_required,0.0,No action
P-00416,A-b9f5b1,4087.0,successful,,0,No action,not_required,0.0,No action
P-00417,A-8ae3fc,3896.0,successful,,0,No action,not_required,0.0,No action
P-00418,A-55f257,12137.0,failed,expired_card,3,Final recovery attempt,recovered,12137.0,Recovered - stop
P-00419,A-712533,9268.0,successful,,0,No action,not_required,0.0,No action
P-00420,A-781cc0,10426.0,successful,,0,No action,not_required,0.0,No action
